feature,padj,fold,model
RETREG1,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
NPAS1,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
TRIM31,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
RHO,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
LINC01106,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
XKR9,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
AC133561.1,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
CADPS,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
AC008079.2,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
AC004889.1,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
PAPOLB,0.04064616288677423,3,RF_max_depth=2_min_samples_leaf=5
ASRGL1,0.04083902330824747,3,RF_max_depth=2_min_samples_leaf=5
AC026523.2,0.04083902330824747,3,RF_max_depth=2_min_samples_leaf=5
AL031594.1,0.04083902330824747,3,RF_max_depth=2_min_samples_leaf=5
OR4K17,0.04083902330824747,3,RF_max_depth=2_min_samples_leaf=5
STAG3L5P,0.04103445322733728,3,RF_max_depth=2_min_samples_leaf=5
SPRY3,0.04103445322733728,3,RF_max_depth=2_min_samples_leaf=5
PABPN1L,0.04103445322733728,3,RF_max_depth=2_min_samples_leaf=5
KRT6A,0.04103445322733728,3,RF_max_depth=2_min_samples_leaf=5
AL160272.1,0.04103445322733728,3,RF_max_depth=2_min_samples_leaf=5
CLVS1,0.04103445322733728,3,RF_max_depth=2_min_samples_leaf=5
CACNB3,0.04103445322733728,3,RF_max_depth=2_min_samples_leaf=5
CDH10,0.04103445322733728,3,RF_max_depth=2_min_samples_leaf=5
AL358334.2,0.04103445322733728,3,RF_max_depth=2_min_samples_leaf=5
OPRD1,0.04104499386429288,3,RF_max_depth=2_min_samples_leaf=5
KRTAP5-5,0.04104499386429288,3,RF_max_depth=2_min_samples_leaf=5
ADCY1,0.04104499386429288,3,RF_max_depth=2_min_samples_leaf=5
PLEKHG4B,0.04104499386429288,3,RF_max_depth=2_min_samples_leaf=5
KBTBD12,0.04104499386429288,3,RF_max_depth=2_min_samples_leaf=5
ZNF541,0.04104499386429288,3,RF_max_depth=2_min_samples_leaf=5
KCNT1,0.04191386438934168,3,RF_max_depth=2_min_samples_leaf=5
GPR42,0.041940816796479416,3,RF_max_depth=2_min_samples_leaf=5
FP671120.1,0.04221655469720855,3,RF_max_depth=2_min_samples_leaf=5
NOTO,0.04221655469720855,3,RF_max_depth=2_min_samples_leaf=5
DUOXA1,0.042537916582875694,3,RF_max_depth=2_min_samples_leaf=5
LGALSL,0.042800932540857324,3,RF_max_depth=2_min_samples_leaf=5
ABCB10P1,0.042800932540857324,3,RF_max_depth=2_min_samples_leaf=5
RGS11,0.042800932540857324,3,RF_max_depth=2_min_samples_leaf=5
KNCN,0.04302123643116091,3,RF_max_depth=2_min_samples_leaf=5
FRG2B,0.04302123643116091,3,RF_max_depth=2_min_samples_leaf=5
AL161756.1,0.044256091323822945,3,RF_max_depth=2_min_samples_leaf=5
AL158835.2,0.044304487095292444,3,RF_max_depth=2_min_samples_leaf=5
N6AMT1,0.044304487095292444,3,RF_max_depth=2_min_samples_leaf=5
GOLGA2P11,0.044304487095292444,3,RF_max_depth=2_min_samples_leaf=5
LINC01551,0.044304487095292444,3,RF_max_depth=2_min_samples_leaf=5
TFAP2C,0.044304487095292444,3,RF_max_depth=2_min_samples_leaf=5
DUX4L18,0.044304487095292444,3,RF_max_depth=2_min_samples_leaf=5
TYRP1,0.044304487095292444,3,RF_max_depth=2_min_samples_leaf=5
TNFRSF8,0.044304487095292444,3,RF_max_depth=2_min_samples_leaf=5
