feature,pvalue,fold,model
AC093155.2,0.009556252744553293,1,RF_max_depth=2_min_samples_leaf=10
SCHIP1,0.009606966829665118,1,RF_max_depth=2_min_samples_leaf=10
MAPRE1P1,0.009608928869170277,1,RF_max_depth=2_min_samples_leaf=10
RPL6P30,0.009904197660925828,1,RF_max_depth=2_min_samples_leaf=10
AC007384.1,0.010077469057831795,1,RF_max_depth=2_min_samples_leaf=10
RPL21P134,0.010136990899465447,1,RF_max_depth=2_min_samples_leaf=10
IGHV3-11,0.010197706065017409,1,RF_max_depth=2_min_samples_leaf=10
CCND2,0.010226221719737333,1,RF_max_depth=2_min_samples_leaf=10
PSMD10P2,0.010248659899177079,1,RF_max_depth=2_min_samples_leaf=10
AL359878.1,0.010335977513948318,1,RF_max_depth=2_min_samples_leaf=10
IGKV6-21,0.01042238347633547,1,RF_max_depth=2_min_samples_leaf=10
AL449283.1,0.010650601270431992,1,RF_max_depth=2_min_samples_leaf=10
FABP5P3,0.01082248969703772,1,RF_max_depth=2_min_samples_leaf=10
TMEM164,0.011052541505858554,1,RF_max_depth=2_min_samples_leaf=10
AFAP1-AS1,0.011352770632880304,1,RF_max_depth=2_min_samples_leaf=10
LINC01503,0.011505215594050168,1,RF_max_depth=2_min_samples_leaf=10
AC021231.2,0.011526526911483858,1,RF_max_depth=2_min_samples_leaf=10
RBBP4P4,0.011610205724525932,1,RF_max_depth=2_min_samples_leaf=10
IGKJ5,0.011616432068593356,1,RF_max_depth=2_min_samples_leaf=10
AL590135.1,3.1971022153065816e-05,2,RF_max_depth=2_min_samples_leaf=10
INSIG2,5.017402528981735e-05,2,RF_max_depth=2_min_samples_leaf=10
C11orf74,0.00014722116441378947,2,RF_max_depth=2_min_samples_leaf=10
AF131215.4,0.00015481152441078477,2,RF_max_depth=2_min_samples_leaf=10
AP002472.1,0.0003416576051358254,2,RF_max_depth=2_min_samples_leaf=10
ZNF679,0.00045301368754351533,2,RF_max_depth=2_min_samples_leaf=10
AL078621.2,0.0005377599355226338,2,RF_max_depth=2_min_samples_leaf=10
ZNF581,0.0005689369293054882,2,RF_max_depth=2_min_samples_leaf=10
CEP72,0.0005751284466062144,2,RF_max_depth=2_min_samples_leaf=10
CRABP2,0.000580248472754793,2,RF_max_depth=2_min_samples_leaf=10
RESP18,0.0005898233991225341,2,RF_max_depth=2_min_samples_leaf=10
CLCA3P,0.0006142636773513126,2,RF_max_depth=2_min_samples_leaf=10
CABS1,0.0006302136297674358,2,RF_max_depth=2_min_samples_leaf=10
ZFP92,0.0006356264695270192,2,RF_max_depth=2_min_samples_leaf=10
ADAM6,0.0007520414501502492,2,RF_max_depth=2_min_samples_leaf=10
PAGE2B,0.0007662953802445802,2,RF_max_depth=2_min_samples_leaf=10
PFDN1,0.0009369502725865846,2,RF_max_depth=2_min_samples_leaf=10
GUCA1C,0.0009516617302874637,2,RF_max_depth=2_min_samples_leaf=10
TUBG1P,0.0010425540222084094,2,RF_max_depth=2_min_samples_leaf=10
CCDC183,0.0010448102041374827,2,RF_max_depth=2_min_samples_leaf=10
S100Z,0.0010611433681799618,2,RF_max_depth=2_min_samples_leaf=10
EIPR1,0.0011017312083813112,2,RF_max_depth=2_min_samples_leaf=10
AL162431.3,0.0012076317623024946,2,RF_max_depth=2_min_samples_leaf=10
C5orf47,0.0012183576250322883,2,RF_max_depth=2_min_samples_leaf=10
TEX13A,0.0012471028068809801,2,RF_max_depth=2_min_samples_leaf=10
VSIG2,0.0013006671598326247,2,RF_max_depth=2_min_samples_leaf=10
ARHGAP42P3,0.0013007965119748246,2,RF_max_depth=2_min_samples_leaf=10
TAS2R8,0.0013318185621141088,2,RF_max_depth=2_min_samples_leaf=10
FAM47A,0.0013412631422049326,2,RF_max_depth=2_min_samples_leaf=10
FP565260.6,0.001405386190820465,2,RF_max_depth=2_min_samples_leaf=10
AC105416.1,0.001434333001266405,2,RF_max_depth=2_min_samples_leaf=10
CRYBB1,0.0014584533786900836,2,RF_max_depth=2_min_samples_leaf=10
IGHV3-38,0.0014695570628980624,2,RF_max_depth=2_min_samples_leaf=10
MIR561,0.0014866568138686396,2,RF_max_depth=2_min_samples_leaf=10
