gene,padj,fold,model
AC138647.1,0.038238155486517655,3,LR_C=0.001
MAGEC2,0.038238155486517655,3,LR_C=0.001
JPX,0.038238155486517655,3,LR_C=0.001
OR2F2,0.03965687464442805,3,LR_C=0.001
AC009086.3,0.03965687464442805,3,LR_C=0.001
GOT1L1,0.039813326661151505,3,LR_C=0.001
LINC02197,0.03994475724324776,3,LR_C=0.001
SLC6A18,0.040055467748424785,3,LR_C=0.001
TBX22,0.040055467748424785,3,LR_C=0.001
GLRA4,0.04049252675991877,3,LR_C=0.001
AC012441.2,0.040647517455257444,3,LR_C=0.001
OR5P3,0.040647517455257444,3,LR_C=0.001
CCR8,0.04065825550243512,3,LR_C=0.001
AP005212.1,0.04069285952104445,3,LR_C=0.001
OR52B1P,0.04069285952104445,3,LR_C=0.001
SOHLH1,0.04069285952104445,3,LR_C=0.001
PSORS1C1,0.04111103193281701,3,LR_C=0.001
KCTD21-AS1,0.0419211275096112,3,LR_C=0.001
DYNLRB2,0.042939904056933945,3,LR_C=0.001
AC092053.3,0.04300767470686839,3,LR_C=0.001
ALG1L2,0.043193172627589156,3,LR_C=0.001
AC104794.2,0.043193172627589156,3,LR_C=0.001
AP003057.1,0.043193172627589156,3,LR_C=0.001
SPZ1,0.043193172627589156,3,LR_C=0.001
AL008638.3,0.043708795701659545,3,LR_C=0.001
AC008740.2,0.043708795701659545,3,LR_C=0.001
TNFSF18,0.043708795701659545,3,LR_C=0.001
PRSS29P,0.043708795701659545,3,LR_C=0.001
GRID1,0.04391718802109978,3,LR_C=0.001
S100B,0.04425478696688573,3,LR_C=0.001
MIAT,0.044456275875786204,3,LR_C=0.001
AC003681.1,0.04452820395791943,3,LR_C=0.001
AC099684.2,0.044770381813394454,3,LR_C=0.001
GPR20,0.044838415114245044,3,LR_C=0.001
C17orf113,0.046262603588788885,3,LR_C=0.001
P2RY4,0.046770060775709374,3,LR_C=0.001
OR5F1,0.046770060775709374,3,LR_C=0.001
DMRT3,0.04684604738147252,3,LR_C=0.001
AC018647.2,0.04684604738147252,3,LR_C=0.001
OR8B12,0.04726220553625128,3,LR_C=0.001
AC090525.2,0.04726220553625128,3,LR_C=0.001
MAPK11,0.04726220553625128,3,LR_C=0.001
GALR3,0.04727585937589916,3,LR_C=0.001
CA7,0.04727585937589916,3,LR_C=0.001
AC106788.2,0.04727585937589916,3,LR_C=0.001
TNFSF9,0.04727585937589916,3,LR_C=0.001
DEFB115,0.04727585937589916,3,LR_C=0.001
C11orf53,0.04727585937589916,3,LR_C=0.001
AL136982.1,0.04727585937589916,3,LR_C=0.001
AC015871.4,0.04727585937589916,3,LR_C=0.001
LIPM,0.04764107132822796,3,LR_C=0.001
KLK12,0.04764107132822796,3,LR_C=0.001
ANGPT4,0.04764107132822796,3,LR_C=0.001
IGKV1OR22-5,0.04794619944360568,3,LR_C=0.001
BEST3,0.04797521495961461,3,LR_C=0.001
MRPL30,0.04797521495961461,3,LR_C=0.001
AC012645.2,0.04797521495961461,3,LR_C=0.001
LENG9,0.04797521495961461,3,LR_C=0.001
TAS2R13,0.04811952110559851,3,LR_C=0.001
AL445235.1,0.04812250231912492,3,LR_C=0.001
FOSL1P1,0.04812250231912492,3,LR_C=0.001
TRAV13-2,0.04812250231912492,3,LR_C=0.001
CSF2,0.048357797822076116,3,LR_C=0.001
OR10J1,0.048357797822076116,3,LR_C=0.001
ANKRD65,0.048357797822076116,3,LR_C=0.001
AC025198.1,0.04869322304174243,3,LR_C=0.001
OR2I1P,0.04892625157862099,3,LR_C=0.001
TDRKH-AS1,0.04892625157862099,3,LR_C=0.001
AC067904.1,0.04892625157862099,3,LR_C=0.001
KRTAP2-1,0.04892625157862099,3,LR_C=0.001
SCGB1C2,0.048961275094975595,3,LR_C=0.001
ACOD1,0.0491882867185172,3,LR_C=0.001
VN1R4,0.0491882867185172,3,LR_C=0.001
CUBNP2,0.04921838427795398,3,LR_C=0.001
CYP51A1,0.04921838427795398,3,LR_C=0.001
DCAF12L1,0.04921838427795398,3,LR_C=0.001
TTC9B,0.04921838427795398,3,LR_C=0.001
BTBD17,0.04921838427795398,3,LR_C=0.001
OR10H1,0.04921838427795398,3,LR_C=0.001
OR13F1,0.04921838427795398,3,LR_C=0.001
MTND4P24,0.04930287564034296,3,LR_C=0.001
RAX2,0.04936796644301496,3,LR_C=0.001
RTP4,0.04936796644301496,3,LR_C=0.001
