,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC48A1,100.05056708014284,-1.4149898615231153,0.7860118157779499,-1.8002144918427705,0.07182677643342036,0.886691031134804
CHST11,142.643500561437,-1.1644058261173247,0.6482719256293962,-1.7961688299039371,0.07246767038798758,0.886691031134804
PIK3R1,749.5115201533224,-1.4421457799278878,0.8034296682207038,-1.7949869627315371,0.07265577713449842,0.886691031134804
TAGLN,180.5255284187588,-1.721989861971555,0.9596068352965,-1.7944743603660278,0.07273748743136535,0.886691031134804
IGF2R,1520.2086824441908,-1.1952479520594241,0.6679894583039915,-1.7893215786580359,0.07356304080054486,0.886691031134804
DAB2,594.2919726736017,-1.6025062383811148,0.896132154831615,-1.7882476705483568,0.07373605838765075,0.886691031134804
HMG20B,250.93576157938108,-1.7121880598398158,0.959192863556237,-1.7850300235677588,0.0742564470854562,0.886691031134804
CYP3A43,246.23200429472803,-1.7649675651408698,0.9946167109719364,-1.7745203209145248,0.07597712385468865,0.886691031134804
CDC42SE1,83.47494047276315,-1.7214868552223683,0.9703674348191653,-1.7740567062034387,0.07605377102174518,0.886691031134804
PITX1,67.80596922483714,-1.7992196533608396,1.0152916580507931,-1.7721209852300666,0.07637447614660031,0.886691031134804
NUDT6,17.365291767145536,2.124028109197336,1.198902823495973,1.7716432621317204,0.07645379348993349,0.886691031134804
TMEM176B,1163.2495519670617,-1.5836533017526646,0.897497696575046,-1.7645207422771856,0.07764434628525191,0.886691031134804
GLUL,2121.4920583914654,-1.45432603275291,0.8252225173389661,-1.7623440977381075,0.07801117751637798,0.886691031134804
TSC22D2,255.56414290468504,-1.0745881060442077,0.6107267302700685,-1.7595236179838007,0.07848861231009896,0.886691031134804
PTOV1,108.27086716948108,-1.5407349812009836,0.8767939023829459,-1.7572373359504236,0.07887736382603405,0.886691031134804
USP1,179.52358879315565,-2.0520129916164365,1.1679831758106125,-1.7568857446874462,0.07893728592368066,0.886691031134804
COL3A1,4883.837004012017,-1.2147689523239351,0.6922184812673993,-1.754892400589747,0.0792777142925323,0.886691031134804
ASGR1,591.1592477448611,-1.3297426113133937,0.7578866818625533,-1.7545401484631835,0.07933799675623518,0.886691031134804
PTP4A2,609.5885439223033,-0.8053450142887723,0.4610169104786241,-1.7468882290080627,0.08065672803961652,0.886691031134804
SREBF1,434.2249866748982,-1.517464552893787,0.8691578266751673,-1.745902189822785,0.08082794931226948,0.886691031134804
IGF2BP2,271.88826514731744,-1.9616091209515651,1.1235579880155175,-1.745890414090913,0.08082999589714883,0.886691031134804
SNRPB2,158.22837541072846,-1.9299001412753378,1.1111711755823381,-1.7368162382937296,0.08241961188716085,0.886691031134804
FBRS,357.0430355991385,-1.4718574013187076,0.8516805603846417,-1.7281801062290039,0.08395593921150121,0.886691031134804
TMEM65,97.42730035296788,-1.372900905110557,0.7960681485849409,-1.7246022310413636,0.08459918110604402,0.886691031134804
