feature,pvalue,fold,model
ITGA9-AS1,0.017795835866668597,1,RF_max_depth=2_min_samples_leaf=10
AC007384.1,0.017934373218514318,1,RF_max_depth=2_min_samples_leaf=10
IGHV7-4-1,0.017980440347323375,1,RF_max_depth=2_min_samples_leaf=10
BMS1P2,0.018091025977073606,1,RF_max_depth=2_min_samples_leaf=10
IGKV1-33,0.018240943544638902,1,RF_max_depth=2_min_samples_leaf=10
MKLN1-AS,0.01825094623500196,1,RF_max_depth=2_min_samples_leaf=10
LINC01320,0.018572930875108393,1,RF_max_depth=2_min_samples_leaf=10
IGLV2-28,0.018824053921163132,1,RF_max_depth=2_min_samples_leaf=10
TGIF2,0.019596805622958388,1,RF_max_depth=2_min_samples_leaf=10
AC107068.1,0.019919880105870896,1,RF_max_depth=2_min_samples_leaf=10
AL449283.1,0.020101427369182998,1,RF_max_depth=2_min_samples_leaf=10
AC127024.2,0.020410386872887744,1,RF_max_depth=2_min_samples_leaf=10
DEFB108E,0.020534835056340836,1,RF_max_depth=2_min_samples_leaf=10
AL589743.5,0.02095357850799837,1,RF_max_depth=2_min_samples_leaf=10
GAPDHP68,0.02101113397495345,1,RF_max_depth=2_min_samples_leaf=10
IGLV2-5,0.02107365086041101,1,RF_max_depth=2_min_samples_leaf=10
SLC44A3-AS1,0.021208275563769943,1,RF_max_depth=2_min_samples_leaf=10
AC008739.5,0.021413604266592747,1,RF_max_depth=2_min_samples_leaf=10
AC100788.1,0.021565970027585743,1,RF_max_depth=2_min_samples_leaf=10
AC019080.4,0.0216614447996323,1,RF_max_depth=2_min_samples_leaf=10
AC087280.2,0.021940084335308186,1,RF_max_depth=2_min_samples_leaf=10
LINC01476,0.022273378365144997,1,RF_max_depth=2_min_samples_leaf=10
ZNF284,0.022633431343398375,1,RF_max_depth=2_min_samples_leaf=10
ZMIZ1-AS1,0.02318031915056059,1,RF_max_depth=2_min_samples_leaf=10
H2AFZP1,0.02318286015466206,1,RF_max_depth=2_min_samples_leaf=10
LINC01503,0.023588502465817302,1,RF_max_depth=2_min_samples_leaf=10
ATP1B1P1,0.023644682907795325,1,RF_max_depth=2_min_samples_leaf=10
BX510359.5,0.023668199197230365,1,RF_max_depth=2_min_samples_leaf=10
AC114491.1,0.023865851829158298,1,RF_max_depth=2_min_samples_leaf=10
FAM215B,0.023907367990066278,1,RF_max_depth=2_min_samples_leaf=10
SVBP,0.02401318682681166,1,RF_max_depth=2_min_samples_leaf=10
RNA5SP86,0.024146010435404416,1,RF_max_depth=2_min_samples_leaf=10
AC067945.2,0.02435552664361726,1,RF_max_depth=2_min_samples_leaf=10
IGLV6-57,0.024385372242117866,1,RF_max_depth=2_min_samples_leaf=10
OR7E156P,0.024535278055896715,1,RF_max_depth=2_min_samples_leaf=10
AC068446.2,0.024754657139433384,1,RF_max_depth=2_min_samples_leaf=10
IGHV3-48,0.024798036287353692,1,RF_max_depth=2_min_samples_leaf=10
RBM48P1,0.02489936164136988,1,RF_max_depth=2_min_samples_leaf=10
DPP9-AS1,0.00028571875181092175,2,RF_max_depth=2_min_samples_leaf=10
AC112907.2,0.0014843608410372614,2,RF_max_depth=2_min_samples_leaf=10
AC073610.3,0.0015354957372589514,2,RF_max_depth=2_min_samples_leaf=10
GAPDHP68,0.002084767639307636,2,RF_max_depth=2_min_samples_leaf=10
MIR561,0.0021138651134218656,2,RF_max_depth=2_min_samples_leaf=10
SNORA19,0.002410779399649527,2,RF_max_depth=2_min_samples_leaf=10
POU3F4,0.0024888974844152873,2,RF_max_depth=2_min_samples_leaf=10
STX16-NPEPL1,0.002520574861946194,2,RF_max_depth=2_min_samples_leaf=10
SPDYA,0.0030440128097751016,2,RF_max_depth=2_min_samples_leaf=10
DEFB115,0.003225609666968984,2,RF_max_depth=2_min_samples_leaf=10
LINC01956,0.0035135989572721207,2,RF_max_depth=2_min_samples_leaf=10
FBXO16,0.003551350165254834,2,RF_max_depth=2_min_samples_leaf=10
AC092296.2,0.003738829015699416,2,RF_max_depth=2_min_samples_leaf=10
HMGN2P21,0.0037558490944186876,2,RF_max_depth=2_min_samples_leaf=10
AC105416.1,0.0037982176239538916,2,RF_max_depth=2_min_samples_leaf=10
AC073089.1,0.0038318242977588234,2,RF_max_depth=2_min_samples_leaf=10
RPL10P13,0.004254262124153218,2,RF_max_depth=2_min_samples_leaf=10
RANGRF,0.004377608298513948,2,RF_max_depth=2_min_samples_leaf=10
AC011468.4,0.004513641420347681,2,RF_max_depth=2_min_samples_leaf=10
AC093155.3,0.004565073892950772,2,RF_max_depth=2_min_samples_leaf=10
TACC1P1,0.0047136894856887185,2,RF_max_depth=2_min_samples_leaf=10
EEF1A1P17,0.004993284606090603,2,RF_max_depth=2_min_samples_leaf=10
KRT18P18,0.005295600907152624,2,RF_max_depth=2_min_samples_leaf=10
RAB9A,0.005375728150412119,2,RF_max_depth=2_min_samples_leaf=10
GAPDHP70,0.005426107859798516,2,RF_max_depth=2_min_samples_leaf=10
AC069366.1,0.005742487163784695,2,RF_max_depth=2_min_samples_leaf=10
AC093827.3,0.005787612674607453,2,RF_max_depth=2_min_samples_leaf=10
PPIAP2,0.006050989995255658,2,RF_max_depth=2_min_samples_leaf=10
KCTD14,0.006059160739740114,2,RF_max_depth=2_min_samples_leaf=10
GGPS1,0.006128307621738726,2,RF_max_depth=2_min_samples_leaf=10
H2AFZP1,0.006418880374516424,2,RF_max_depth=2_min_samples_leaf=10
KLRC3,0.006643057950817272,2,RF_max_depth=2_min_samples_leaf=10
AC091874.1,0.006724539507954197,2,RF_max_depth=2_min_samples_leaf=10
